iter	RMSE
0	1002280.885
1	933306.9652
2	871071.9296
3	813088.8929
4	759687.927
5	713087.8126
6	675426.0059
7	639736.8578
8	607613.628
9	582168.8423
10	559122.5911
11	538020.3735
12	520602.0865
13	504028.3186
14	489457.9222
15	476903.5618
16	464777.0874
17	454594.5161
18	445324.4863
19	437097.1604
20	431275.1526
21	425571.9446
22	422704.8488
23	418095.0233
24	414072.8699
25	411802.6688
26	408589.8441
27	405356.1394
28	402418.2893
29	399520.1858
30	397156.2579
31	394368.8234
32	393472.5747
33	392344.7209
34	391028.8434
35	389248.2052
36	387238.8137
37	385879.482
38	384695.6149
39	383425.9035
40	382453.0613
41	381399.4297
42	380500.8854
43	379179.4265
44	378905.2955
45	377829.3221
46	376998.6388
47	376012.4198
48	374379.5414
49	373393.9789
50	372554.4614
51	371724.2353
52	370992.0873
53	370342.8878
54	369675.3509
55	368512.2492
56	367985.2134
57	367426.4744
58	366790.8593
59	366228.2103
60	365685.7239
61	365149.294
62	364731.8101
63	363772.2286
64	363433.3237
65	362622.0509
66	362020.6386
67	361223.5581
68	360792.2111
69	360409.3422
70	359838.0502
71	359389.8754
72	359219.4596
73	358323.3562
74	357749.4519
75	357104.2026
76	356573.5567
77	356203.9533
78	355587.99
79	355100.2914
80	354563.7554
81	354121.0668
82	353540.4141
83	352954.8372
84	352654.32
85	352149.6973
86	351415.5824
87	350686.7407
88	349766.3335
89	349405.97
90	349163.9832
91	348041.661
92	347239.6465
93	346242.2263
94	346202.602
95	345230.4679
96	344480.1763
97	343867.1029
98	342574.4463
99	341700.633
100	341047.6036
101	340384.9786
102	339703.8288
103	338938.2628
104	338689.0799
105	337872.2077
106	337189.6299
107	336762.917
108	336293.2534
109	336266.1382
110	335659.1094
111	335270.9999
112	334914.3214
113	334435.1526
114	333679.729
115	332868.1537
116	332443.2477
117	331992.1107
118	331590.6494
119	330988.2117
120	329888.7617
121	329329.2073
122	329130.5242
123	329052.3408
124	328711.8818
125	328185.2377
126	327895.9631
127	327577.9633
128	327213.5532
129	326977.9115
130	326797.1054
131	326027.4984
132	325828.8011
133	325241.8314
134	324836.9344
135	324115.9366
136	323925.7312
137	322949.0542
138	322017.661
139	321205.7526
140	320648.4478
141	320210.3989
142	319561.2888
143	319218.4464
144	318566.187
145	317842.4122
146	317405.4473
147	317207.4454
148	316675.752
149	315810.7643
150	315268.9377
151	314986.049
152	314564.7006
153	314190.6734
154	314027.6268
155	313831.4639
156	313202.764
157	312719.8041
158	312306.1697
159	311667.346
160	311201.9332
161	310492.0793
162	310059.3511
163	309614.5672
164	308388.7781
165	307887.1165
166	307568.6241
167	307224.5356
168	306494.4944
169	306108.2141
170	305458.2207
171	305244.9176
172	304836.6254
173	304211.4408
174	303861.0056
175	303500.9261
176	303203.0105
177	302917.7428
178	302270.2855
179	302047.8675
180	301623.7606
181	301224.0038
182	300933.2369
183	300358.1685
184	300106.8496
185	299827.4125
