iter	Passed	Remaining
0	177	88780
1	180	45032
2	182	30192
3	184	22924
4	187	18593
5	190	15702
6	194	13704
7	198	12177
8	201	11019
9	205	10053
10	206	9191
11	210	8577
12	216	8115
13	218	7576
14	222	7196
15	226	6852
16	230	6536
17	233	6252
18	236	5997
19	240	5765
20	243	5543
21	246	5347
22	247	5123
23	250	4958
24	252	4805
25	254	4640
26	257	4514
27	260	4392
28	263	4277
29	266	4170
30	269	4070
31	271	3971
32	272	3860
33	273	3755
34	276	3669
35	278	3586
36	280	3505
37	281	3428
38	283	3354
39	285	3282
40	286	3207
41	288	3140
42	289	3076
43	290	3014
44	291	2945
45	292	2887
46	293	2831
47	294	2777
48	296	2725
49	297	2675
50	298	2627
51	299	2581
52	300	2536
53	301	2493
54	303	2452
55	304	2412
56	305	2373
57	306	2335
58	307	2299
59	308	2264
60	309	2230
61	310	2197
62	312	2166
63	313	2135
64	314	2105
65	315	2076
66	316	2047
67	318	2020
68	319	1993
69	320	1967
70	321	1942
71	322	1917
72	323	1891
73	324	1867
74	325	1845
75	326	1823
76	328	1803
77	329	1782
78	330	1761
79	331	1742
80	333	1722
81	334	1703
82	335	1685
83	336	1666
84	337	1649
85	338	1631
86	340	1614
87	341	1598
88	342	1581
89	343	1565
90	344	1549
91	345	1534
92	347	1519
93	348	1504
94	348	1486
95	349	1472
96	351	1458
97	352	1444
98	353	1431
99	354	1418
100	355	1405
101	356	1392
102	358	1380
103	359	1368
104	360	1356
105	361	1344
106	362	1332
107	364	1321
108	365	1309
109	365	1296
110	366	1285
111	368	1274
112	369	1264
113	370	1253
114	371	1244
115	373	1235
116	374	1225
117	375	1216
118	377	1207
119	378	1197
120	379	1188
121	380	1179
122	381	1170
123	383	1161
124	384	1152
125	385	1144
126	386	1135
127	387	1127
128	389	1119
129	390	1111
130	391	1102
131	392	1094
132	393	1086
133	395	1079
134	396	1071
135	397	1063
136	398	1055
137	399	1048
138	400	1041
139	402	1034
140	403	1026
141	404	1019
142	405	1012
143	406	1005
144	407	998
145	409	991
146	410	984
147	411	978
148	412	971
149	413	965
150	414	958
151	416	953
152	417	947
153	418	940
154	420	935
155	421	929
156	422	923
157	424	917
158	425	912
159	427	907
160	428	902
161	429	897
162	431	891
163	432	886
164	433	880
165	434	875
166	436	869
167	437	863
168	438	858
169	439	853
170	440	848
171	442	842
172	443	837
173	444	832
174	445	827
175	446	822
176	447	817
177	448	812
178	450	807
179	451	802
180	452	797
181	453	792
182	454	787
183	455	782
184	457	778
185	458	773
186	459	768
187	460	764
188	461	759
189	463	755
190	464	751
191	465	746
192	466	742
193	467	738
194	469	733
195	470	729
196	471	725
197	472	721
198	474	717
199	475	712
200	476	708
201	477	704
202	478	700
203	480	696
204	481	692
205	482	688
206	483	684
207	484	680
208	485	676
209	487	672
210	488	669
211	489	665
212	490	661
213	492	657
214	493	654
215	494	650
216	496	647
217	497	643
218	498	639
219	499	635
220	500	632
221	501	628
222	503	624
223	504	621
224	505	617
225	506	613
226	507	610
227	508	606
228	509	603
229	511	599
230	512	596
231	513	592
232	514	589
233	515	586
234	516	582
235	517	579
236	518	575
237	520	572
238	521	569
239	522	565
240	523	562
241	524	559
242	525	556
243	527	552
244	528	549
245	529	546
246	530	543
247	531	540
248	532	536
249	533	533
250	534	530
251	536	527
252	537	524
253	538	521
254	539	518
255	540	515
256	542	512
257	543	509
258	544	506
259	545	503
260	546	500
261	547	497
262	548	494
263	550	491
264	551	488
265	552	485
266	553	483
267	554	480
268	555	477
269	557	474
270	558	471
271	559	469
272	560	466
273	561	463
274	563	460
275	564	457
276	565	455
277	566	452
278	567	449
279	568	447
280	570	444
281	571	441
282	572	438
283	573	436
284	574	433
285	575	430
286	576	428
287	578	425
288	579	422
289	580	420
290	581	417
291	582	415
292	583	412
293	584	409
294	586	407
295	587	404
296	588	402
297	589	399
298	590	397
299	591	394
300	592	391
301	594	389
302	595	387
303	596	384
304	597	382
305	598	379
306	599	377
307	600	374
308	602	372
309	603	369
310	604	367
311	605	364
312	606	362
313	607	359
314	608	357
315	610	355
316	611	352
317	612	350
318	613	348
319	614	345
320	615	343
321	616	341
322	618	338
323	619	336
324	620	334
325	621	331
326	622	329
327	623	327
328	624	324
329	626	322
330	627	320
331	628	317
332	629	315
333	630	313
334	631	311
335	632	308
336	634	306
337	635	304
338	636	302
339	637	300
340	639	298
341	640	296
342	642	294
343	643	291
344	645	289
345	646	287
346	647	285
347	648	283
348	650	281
349	651	279
350	652	277
351	653	274
352	655	272
353	656	270
354	657	268
355	658	266
356	659	264
357	661	262
358	662	260
359	663	258
360	664	255
361	665	253
362	666	251
363	668	249
364	669	247
365	670	245
366	672	243
367	673	241
368	674	239
369	676	237
370	677	235
371	678	233
372	679	231
373	681	229
374	682	227
375	683	225
376	685	223
377	686	221
378	687	219
379	688	217
380	689	215
381	691	213
382	692	211
383	693	209
384	694	207
385	695	205
386	697	203
387	698	201
388	699	199
389	700	197
390	702	195
391	703	193
392	704	191
393	705	189
394	706	187
395	708	185
396	709	184
397	710	182
398	711	180
399	713	178
400	714	176
401	715	174
402	716	172
403	717	170
404	719	168
405	720	166
406	721	164
407	722	162
408	724	161
409	725	159
410	726	157
411	727	155
412	729	153
413	730	151
414	732	149
415	733	148
416	734	146
417	735	144
418	737	142
419	738	140
420	739	138
421	740	136
422	741	135
423	742	133
424	744	131
425	745	129
426	746	127
427	747	125
428	748	123
429	749	122
430	751	120
431	752	118
432	753	116
433	754	114
434	755	112
435	756	111
436	757	109
437	759	107
438	760	105
439	761	103
440	762	102
441	763	100
442	764	98
443	766	96
444	767	94
445	768	93
446	769	91
447	770	89
448	771	87
449	772	85
450	774	84
451	775	82
452	776	80
453	777	78
454	778	77
455	780	75
456	781	73
457	782	71
458	783	69
459	784	68
460	785	66
461	786	64
462	788	62
463	789	61
464	790	59
465	791	57
466	792	56
467	793	54
468	795	52
469	796	50
470	797	49
471	798	47
472	799	45
473	800	43
474	801	42
475	803	40
476	804	38
477	805	37
478	807	35
479	808	33
480	809	31
481	811	30
482	812	28
483	813	26
484	814	25
485	815	23
486	817	21
487	818	20
488	819	18
489	820	16
490	822	15
491	823	13
492	824	11
493	825	10
494	826	8
495	828	6
496	829	5
497	830	3
498	831	1
499	833	0
